Date;Variables;count
2023-06-30;xg_roll;NA
2023-06-30;xGA_roll;NA
2023-07-15;xg_roll;NA
2023-07-15;xGA_roll;NA
2023-08-20;xg_roll;2,06
2023-08-20;xGA_roll;0,76
2023-08-23;xg_roll;2,00
2023-08-23;xGA_roll;0,86
2023-08-26;xg_roll;1,54
2023-08-26;xGA_roll;0,76
2023-09-02;xg_roll;1,38
2023-09-02;xGA_roll;0,74
2023-09-16;xg_roll;1,30
2023-09-16;xGA_roll;0,92
2023-09-20;xg_roll;1,36
2023-09-20;xGA_roll;0,90
2023-09-24;xg_roll;1,82
2023-09-24;xGA_roll;0,80
2023-09-30;xg_roll;2,02
2023-09-30;xGA_roll;0,82
2023-10-03;xg_roll;2,44
2023-10-03;xGA_roll;0,84
2023-10-06;xg_roll;2,24
2023-10-06;xGA_roll;0,68
2023-10-21;xg_roll;2,08
2023-10-21;xGA_roll;0,72
2023-10-28;xg_roll;2,18
2023-10-28;xGA_roll;0,62
2023-11-01;xg_roll;1,92
2023-11-01;xGA_roll;0,66
2023-11-04;xg_roll;1,74
2023-11-04;xGA_roll;0,74
2023-11-11;xg_roll;2,00
2023-11-11;xGA_roll;0,66
2023-11-29;xg_roll;2,32
2023-11-29;xGA_roll;0,70
2023-12-02;xg_roll;1,68
2023-12-02;xGA_roll;1,06
2023-12-06;xg_roll;1,82
2023-12-06;xGA_roll;1,04
2023-12-09;xg_roll;1,80
2023-12-09;xGA_roll;0,92
2023-12-14;xg_roll;1,42
2023-12-14;xGA_roll;1,30
2023-12-17;xg_roll;1,34
2023-12-17;xGA_roll;1,14
2024-01-13;xg_roll;1,74
2024-01-13;xGA_roll;1,00
2024-01-20;xg_roll;1,52
2024-01-20;xGA_roll;1,00
2024-01-24;xg_roll;1,34
2024-01-24;xGA_roll;1,00
2024-01-27;xg_roll;1,76
2024-01-27;xGA_roll;0,78
2024-02-03;xg_roll;1,54
2024-02-03;xGA_roll;1,12
2024-02-10;xg_roll;1,58
2024-02-10;xGA_roll;1,16
2024-02-17;xg_roll;1,64
2024-02-17;xGA_roll;1,18
2024-02-21;xg_roll;2,38
2024-02-21;xGA_roll;1,24
2024-02-24;xg_roll;2,08
2024-02-24;xGA_roll;1,38
2024-03-02;xg_roll;2,04
2024-03-02;xGA_roll;1,12
2024-03-09;xg_roll;1,74
2024-03-09;xGA_roll;1,20
2024-03-16;xg_roll;1,94
2024-03-16;xGA_roll;1,24
2024-03-29;xg_roll;1,92
2024-03-29;xGA_roll;1,26
2024-04-06;xg_roll;2,00
2024-04-06;xGA_roll;1,02
2024-04-13;xg_roll;1,98
2024-04-13;xGA_roll;0,98
2024-04-20;xg_roll;1,92
2024-04-20;xGA_roll;0,88
2024-04-26;xg_roll;1,94
2024-04-26;xGA_roll;0,82
2024-05-08;xg_roll;1,10
2024-05-08;xGA_roll;0,76
2024-05-11;xg_roll;1,02
2024-05-11;xGA_roll;0,76
2024-05-15;xg_roll;1,30
2024-05-15;xGA_roll;0,92
2024-05-18;xg_roll;1,50
2024-05-18;xGA_roll;0,90
2024-05-23;xg_roll;NA
2024-05-23;xGA_roll;NA
2024-05-26;xg_roll;NA
2024-05-26;xGA_roll;NA
