"","Squad","Poss","Gls","xG_Expected","xGA","ruta_imagen"
"1","Aldosivi",46.8,18,15.3,19.2,"escudos/aldosivi.png"
"2","Arg Juniors",62.1,23,20.8,12.8,"escudos/argentinos.png"
"3","Atlé Tucumán",50.9,15,19.2,22.3,"escudos/atleticotucuman.png"
"4","Banfield",44.2,13,14.7,22,"escudos/banfield.png"
"5","Barracas Central",38.9,20,16.6,14,"escudos/barracas.png"
"6","Belgrano",49,12,15.7,16.6,"escudos/belgrano.png"
"7","Boca Juniors",56.1,23,19.5,14.8,"escudos/boca.png"
"8","Cen. Córdoba–SdE",52.8,20,22,19,"escudos/centralcordoba.png"
"9","Defensa y Just",51.8,18,14,20,"escudos/defensa.png"
"10","Deportivo Riestra",31.5,13,14.4,16.7,"escudos/riestra.png"
"11","Estudiantes–LP",54.5,18,18.5,15.8,"escudos/estudiantes.png"
"12","Gimnasia–LP",48.4,8,13.6,18.2,"escudos/gimnasia.png"
"13","Godoy Cruz",47.8,6,9.8,16.6,"escudos/godoycruz.png"
"14","Huracán",51.1,19,18.8,15.2,"escudos/huracan.png"
"15","Ind. Rivadavia",46.1,20,18.6,22.9,"escudos/independienteriv.png"
"16","Independiente",58.8,20,18.6,17.2,"escudos/independiente.png"
"17","Instituto",49.8,15,16.1,18.3,"escudos/instituto.png"
"18","Lanús",51.6,13,19.2,16,"escudos/lanus.png"
"19","Newell's OB",44.6,12,17.8,19,"escudos/newells.png"
"20","Platense",43.8,11,15.3,16.7,"escudos/platense.png"
"21","Racing Club",52.1,25,22.2,19,"escudos/racing.png"
"22","River Plate",63.9,21,24.3,14.8,"escudos/river.png"
"23","Rosario Central",50.8,21,19.8,12.3,"escudos/rosariocentral.png"
"24","San Lorenzo",49.6,13,15.7,13.7,"escudos/sanlorenzo.png"
"25","San Martín de San Juan",45.6,5,12,19.6,"escudos/sanmartinsj.png"
"26","Sarmiento",44.8,10,16.4,22.4,"escudos/sarmiento.png"
"27","Talleres",57.7,10,18.6,13.8,"escudos/talleres.png"
"28","Tigre",44.8,17,19.3,15,"escudos/tigre.png"
"29","Unión",55.2,11,19.4,17.2,"escudos/union.png"
"30","Vélez Sarsfield",55.1,7,11.1,16.3,"escudos/velez.png"
